DOID:0001816	angiosarcoma	angiosarcoma|angiosarcoma non-metastatic|angiosarcoma nonmetastatic|angiosarcoma nos|angiosarcomas|haemangioendothelial sarcoma|haemangioendothelial sarcomas|haemangioendothelioma malignant|haemangiosarcoma|haemangiosarcoma nos|haemangiosarcomas|hemangioendothelial sarcoma|hemangioendothelial sarcomas|hemangioendothelioma malignant|hemangiosarcoma|hemangiosarcoma nos|hemangiosarcomas|localized angiosarcoma|localized angiosarcomas|malign haemangioendothelioma|malign haemangioendotheliomas|malign hemangioendothelioma|malign hemangioendotheliomas|malignant angioendothelioma|malignant angioendotheliomas|malignant haemangioendothelioma|malignant haemangioendotheliomas|malignant hemangioendothelioma|malignant hemangioendotheliomas|non-metastatic angiosarcoma|non-metastatic angiosarcomas|non-metastatic hemangiosarcoma|non-metastatic hemangiosarcomas
DOID:0050387	nonpapillary renal cell carcinoma	nonpapillary renal cell carcinoma|nonpapillary renal cell carcinomas
DOID:0050458	juvenile myelomonocytic leukemia	jcml|jcml - juv chron myel leukaem|jcml - juvenile chronic myeloid leukaemia|jcml - juvenile chronic myeloid leukaemias|jcml - juvenile chronic myeloid leukemia|jcml - juvenile chronic myeloid leukemias|jmml|juv chronic myeloid leukaemia|juv chronic myeloid leukaemias|juv chronic myeloid leukemia|juv chronic myeloid leukemias|juvenile chronic myelogenous leukaemia|juvenile chronic myelogenous leukaemias|juvenile chronic myelogenous leukemia|juvenile chronic myelogenous leukemias|juvenile chronic myeloid leukaemia|juvenile chronic myeloid leukaemias|juvenile chronic myeloid leukemia|juvenile chronic myeloid leukemias|juvenile chronic myelomonocytic leukaemia|juvenile chronic myelomonocytic leukaemias|juvenile chronic myelomonocytic leukemia|juvenile chronic myelomonocytic leukemias|juvenile myelomonocytic leukaemia|juvenile myelomonocytic leukaemia nos|juvenile myelomonocytic leukaemias|juvenile myelomonocytic leukemia|juvenile myelomonocytic leukemia nos|juvenile myelomonocytic leukemias|leukaemia juvenile myelomonocytic|leukemia juvenile myelomonocytic
DOID:0050523	adult T-cell leukemia/lymphoma	adul t-cell leukem/lymphoma|adul t-cell leukem/lymphomas|adult t cell leukaemia|adult t cell leukaemias|adult t cell leukemia|adult t cell leukemias|adult t cell lymphoma/leukaemia|adult t cell lymphoma/leukaemias|adult t cell lymphoma/leukemia|adult t cell lymphoma/leukemias|adult t-cell leukaemia|adult t-cell leukaemia-lymphoma|adult t-cell leukaemia-lymphomas|adult t-cell leukaemia/lymphoma|adult t-cell leukaemia/lymphomas|adult t-cell leukaemias|adult t-cell leukemia|adult t-cell leukemia-lymphoma|adult t-cell leukemia-lymphomas|adult t-cell leukemia/lymphoma|adult t-cell leukemia/lymphomas|adult t-cell leukemias|adult t-cell lymphoma|adult t-cell lymphoma/leukaemia|adult t-cell lymphoma/leukaemia nos|adult t-cell lymphoma/leukaemias|adult t-cell lymphoma/leukemia|adult t-cell lymphoma/leukemia nos|adult t-cell lymphoma/leukemias|adult t-cell lymphomas|adult t-cell lymphomas/leukaemias|adult t-cell lymphomas/leukemias|htlv all|htlv associated leukaemia lymphoma|htlv associated leukaemia lymphomas|htlv associated leukemia lymphoma|htlv associated leukemia lymphomas|htlv i associated t cell leukaemia lymphoma|htlv i associated t cell leukaemia lymphomas|htlv i associated t cell leukemia lymphoma|htlv i associated t cell leukemia lymphomas|htlv-1 associated adult t-cell lymphoma/leukaemia|htlv-1 associated adult t-cell lymphoma/leukaemias|htlv-1 associated adult t-cell lymphoma/leukemia|htlv-1 associated adult t-cell lymphoma/leukemias|htlv-associated leukaemia-lymphoma|htlv-associated leukaemia-lymphomas|htlv-associated leukemia-lymphoma|htlv-associated leukemia-lymphomas|htlv-i associated adult t-cell leukaemia/lymphoma|htlv-i associated adult t-cell leukaemia/lymphomas|htlv-i associated adult t-cell leukemia/lymphoma|htlv-i associated adult t-cell leukemia/lymphomas|htlv-i-associated t-cell leukaemia-lymphoma|htlv-i-associated t-cell leukaemia-lymphomas|htlv-i-associated t-cell leukemia-lymphoma|htlv-i-associated t-cell leukemia-lymphomas|human t cell leukaemia|human t cell leukaemia lymphoma|human t cell leukaemia lymphomas|human t cell leukaemias|human t cell leukemia|human t cell leukemia lymphoma|human t cell leukemia lymphomas|human t cell leukemias|human t lymphotropic virus associated leukaemia lymphoma|human t lymphotropic virus associated leukaemia lymphomas|human t lymphotropic virus associated leukemia lymphoma|human t lymphotropic virus associated leukemia lymphomas|human t lymphotropic virus-associated leukaemia-lymphoma|human t lymphotropic virus-associated leukaemia-lymphomas|human t lymphotropic virus-associated leukemia-lymphoma|human t lymphotropic virus-associated leukemia-lymphomas|human t-cell leukaemia-lymphoma|human t-cell leukaemia-lymphomas|human t-cell leukemia-lymphoma|human t-cell leukemia-lymphomas|leukaemia adult t-cell|leukemia adult t-cell
DOID:0050547	familial medullary thyroid carcinoma	familial medullary carcinoma of thyroid gland|familial medullary thyroid cancer|familial medullary thyroid cancers|familial medullary thyroid carcinoma|familial medullary thyroid carcinomas|familial mtc|familial thyroid gland medullary carcinoma|familial thyroid gland medullary carcinomas|fmtc|hereditary medullary thyroid cancer|hereditary medullary thyroid cancers|hereditary thyroid gland medullary carcinoma|hereditary thyroid gland medullary carcinomas|mtc1
DOID:0050608	Askin's tumor	askin tumor|askin tumors|askin tumour|askin tumours|askin's tumor|askin's tumors|askin's tumour|askin's tumours|peripheral neuroectodermal tumor of thoracopulmonary region|peripheral neuroectodermal tumour of thoracopulmonary region|pnet of chest wall|pnet of thoracopulmonary region|small cell tumor of thoracopulmonary region|small cell tumour of thoracopulmonary region
DOID:0050615	respiratory system cancer	respiratory system cancer|respiratory system cancers
DOID:0050619	paranasal sinus cancer	accessory sinus adenocarcinoma|accessory sinus adenocarcinomas|accessory sinus adenoid cystic carcinoma|accessory sinus adenoid cystic carcinomas|accessory sinus cancer|accessory sinus cancers|accessory sinus carcinoma|accessory sinus carcinomas|accessory sinus mucoepidermoid carcinoma|accessory sinus mucoepidermoid carcinomas|adenocarcinoma of accessory sinus|adenocarcinoma of paranasal sinus|adenocarcinoma of the accessory sinus|adenocarcinoma of the paranasal sinus|adenoid cystic carcinoma of accessory sinus|adenoid cystic carcinoma of paranasal sinus|adenoid cystic carcinoma of the accessory sinus|adenoid cystic carcinoma of the paranasal sinus|cancer of paranasal sinus|cancer of the paranasal sinus|carcinoma of accessory sinus|carcinoma of paranasal sinus|carcinoma of the accessory sinus|carcinoma of the paranasal sinus|epidermoid carcinoma of paranasal sinus|epidermoid carcinoma of the paranasal sinus|mucoepidermoid carcinoma of accessory sinus|mucoepidermoid carcinoma of paranasal sinus|mucoepidermoid carcinoma of the accessory sinus|mucoepidermoid carcinoma of the paranasal sinus|paranasal sinus adenocarcinoma|paranasal sinus adenocarcinomas|paranasal sinus adenoid cystic carcinoma|paranasal sinus adenoid cystic carcinomas|paranasal sinus cancer|paranasal sinus cancer nos|paranasal sinus cancers|paranasal sinus carcinoma|paranasal sinus carcinomas|paranasal sinus epidermoid carcinoma|paranasal sinus epidermoid carcinomas|paranasal sinus mucoepidermoid carcinoma|paranasal sinus mucoepidermoid carcinomas|paranasal sinus squamous cell carcinoma|paranasal sinus squamous cell carcinomas|sinus paranasal cancer|sinus paranasal cancers|squamous cell carcinoma of paranasal sinus|squamous cell carcinoma of the paranasal sinus
DOID:0050620	infiltrating renal pelvis transitional cell carcinoma	infiltrating renal pelvis transitional cell carcinoma|infiltrating renal pelvis transitional cell carcinomas
DOID:0050626	gastrointestinal neuroendocrine tumor	gastrointestinal neuroendocrine tumor|gastrointestinal neuroendocrine tumors|gastrointestinal neuroendocrine tumour|gastrointestinal neuroendocrine tumours|malignant gastrointestinal neuroendocrine tumor|malignant gastrointestinal neuroendocrine tumors|malignant gastrointestinal neuroendocrine tumour|malignant gastrointestinal neuroendocrine tumours
DOID:0050671	female breast cancer	female breast cancer|female breast cancers
