P14060	3BHS1_HUMAN	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1|3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I|3-beta-hydroxy-5-ene steroid dehydrogenase|3-beta-hydroxy-Delta(5)-steroid dehydrogenase|3-beta-hydroxysteroid 3-dehydrogenase|3BHS1_HUMAN|Delta-5-3-ketosteroid isomerase|Dihydrotestosterone oxidoreductase|Steroid Delta-isomerase|Trophoblast antigen FDO161G
P26439	3BHS2_HUMAN	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2|3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type II|3-beta-HSD adrenal and gonadal type|3BHS2_HUMAN
Q9BXI3	5NT1A_HUMAN	5'-deoxynucleotidase|5NT1A_HUMAN|Cytosolic 5'-nucleotidase 1A|Cytosolic 5'-nucleotidase IA
Q96P26	5NT1B_HUMAN	5NT1B_HUMAN|Autoimmune infertility-related|Autoimmune infertility-related protein|Cytosolic 5'-nucleotidase 1B|Cytosolic 5'-nucleotidase IB
Q9H0P0	5NT3A_HUMAN	5NT3A_HUMAN|7-methylguanosine phosphate-specific 5'-nucleotidase|Cytosolic 5'-nucleotidase 3|Cytosolic 5'-nucleotidase 3A|Cytosolic 5'-nucleotidase III|Pyrimidine 5'-nucleotidase 1|Uridine 5'-monophosphate hydrolase 1|p36
Q969T7	5NT3B_HUMAN	5NT3B_HUMAN|7-methylguanosine phosphate-specific 5'-nucleotidase|Cytosolic 5'-nucleotidase 3B|Cytosolic 5'-nucleotidase III-like|Cytosolic 5'-nucleotidase III-like protein|N(7)-methylguanylate 5'-phosphatase
O95336	6PGL_HUMAN	6-phosphogluconolactonase|6PGL_HUMAN
P20848	A1ATR_HUMAN	A1ATR_HUMAN|Alpha-1-antitrypsin-related|Alpha-1-antitrypsin-related protein|Protease inhibitor 1-like|Serpin A2
P01009	A1AT_HUMAN	A1AT_HUMAN|Alpha-1 protease inhibitor|Alpha-1-antiproteinase|Alpha-1-antitrypsin|Serpin A1
A8K2U0	A2ML1_HUMAN	A2ML1_HUMAN|Alpha-2-macroglobulin-like protein 1|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 9
A7E2S9	A30BL_HUMAN	A30BL_HUMAN|Putative ankyrin repeat domain-containing protein 30B-like
P29274	AA2AR_HUMAN	AA2AR_HUMAN|Adenosine receptor A2a
P29275	AA2BR_HUMAN	AA2BR_HUMAN|Adenosine receptor A2b
P0DMS8	AA3R_HUMAN	AA3R_HUMAN|Adenosine receptor A3
Q6PD74	AAGAB_HUMAN	AAGAB_HUMAN|Alpha- and gamma-adaptin-binding protein p34
Q8N139	ABCA6_HUMAN	ABCA6_HUMAN|ATP-binding cassette sub-family A member 6
Q8IZY2	ABCA7_HUMAN	ABCA-SSN|ABCA7_HUMAN|ATP-binding cassette sub-family A member 7|Autoantigen SS-N|Macrophage ABC transporter|Phospholipid-transporting ATPase ABCA7
O94911	ABCA8_HUMAN	ABC-type organic anion transporter ABCA8|ABCA8_HUMAN|ATP-binding cassette sub-family A member 8
Q8IUA7	ABCA9_HUMAN	ABCA9_HUMAN|ATP-binding cassette sub-family A member 9
Q8WWZ4	ABCAA_HUMAN	ABCAA_HUMAN|ATP-binding cassette sub-family A member 10
Q86UK0	ABCAC_HUMAN	ABCAC_HUMAN|ATP-binding cassette sub-family A member 12|ATP-binding cassette transporter 12|Glucosylceramide transporter ABCA12
Q86UQ4	ABCAD_HUMAN	ABCAD_HUMAN|ATP-binding cassette sub-family A member 13
P00519	ABL1_HUMAN	ABL1_HUMAN|Abelson murine leukemia viral oncogene homolog 1|Abelson tyrosine-protein kinase 1|Proto-oncogene c-Abl|Tyrosine-protein kinase ABL1|p150
P42684	ABL2_HUMAN	ABL2_HUMAN|Abelson murine leukemia viral oncogene homolog 2|Abelson tyrosine-protein kinase 2|Abelson-related gene|Abelson-related gene protein|Tyrosine-protein kinase ABL2|Tyrosine-protein kinase ARG
P32297	ACHA3_HUMAN	ACHA3_HUMAN|Neuronal acetylcholine receptor subunit alpha-3
P43681	ACHA4_HUMAN	ACHA4_HUMAN|Neuronal acetylcholine receptor subunit alpha-4
P30532	ACHA5_HUMAN	ACHA5_HUMAN|Neuronal acetylcholine receptor subunit alpha-5
P08173	ACM4_HUMAN	ACM4_HUMAN|Muscarinic acetylcholine receptor M4
P08912	ACM5_HUMAN	ACM5_HUMAN|Muscarinic acetylcholine receptor M5
Q86TX2	ACOT1_HUMAN	ACOT1_HUMAN|Acyl-coenzyme A thioesterase 1|CTE-I|CTE-Ib|Inducible cytosolic acyl-coenzyme A thioester hydrolase|Long chain acyl-CoA thioester hydrolase|Palmitoyl-coenzyme A thioesterase
P49753	ACOT2_HUMAN	ACOT2_HUMAN|Acyl-coenzyme A thioester hydrolase 2a|Acyl-coenzyme A thioesterase 2, mitochondrial|CTE-Ia|Long-chain acyl-CoA thioesterase 2|ZAP128
Q8N9L9	ACOT4_HUMAN	ACOT4_HUMAN|Acyl-coenzyme A thioesterase 4|PTE-2b|Peroxisomal acyl coenzyme A thioester hydrolase Ib|Peroxisomal long-chain acyl-CoA thioesterase Ib|Peroxisomal succinyl-coenzyme A thioesterase
Q3I5F7	ACOT6_HUMAN	ACOT6_HUMAN|Acyl-coenzyme A thioesterase 6
O14734	ACOT8_HUMAN	ACOT8_HUMAN|Acyl-coenzyme A thioesterase 8|Choloyl-coenzyme A thioesterase|HIV-Nef-associated acyl-CoA thioesterase|Peroxisomal acyl-CoA thioesterase 2|Peroxisomal acyl-coenzyme A thioester hydrolase 1|Peroxisomal long-chain acyl-CoA thioesterase 1|Thioesterase II
Q9Y305	ACOT9_HUMAN	ACOT9_HUMAN|Acyl-CoA thioester hydrolase 9|Acyl-coenzyme A thioesterase 9, mitochondrial
P33121	ACSL1_HUMAN	ACSL1_HUMAN|Acyl-CoA synthetase 1|Arachidonate--CoA ligase|Long-chain acyl-CoA synthetase 1|Long-chain acyl-CoA synthetase 2|Long-chain fatty acid-CoA ligase 2|Long-chain-fatty-acid--CoA ligase 1|Palmitoyl-CoA ligase 1|Palmitoyl-CoA ligase 2|Phytanate--CoA ligase
O95573	ACSL3_HUMAN	ACSL3_HUMAN|Arachidonate--CoA ligase|Fatty acid CoA ligase Acsl3|Long-chain acyl-CoA synthetase 3|Long-chain-fatty-acid--CoA ligase 3|Medium-chain acyl-CoA ligase Acsl3
O60488	ACSL4_HUMAN	ACSL4_HUMAN|Arachidonate--CoA ligase|Long-chain acyl-CoA synthetase 4|Long-chain-fatty-acid--CoA ligase 4
Q9ULC5	ACSL5_HUMAN	ACSL5_HUMAN|Arachidonate--CoA ligase|Long-chain acyl-CoA synthetase 5|Long-chain-fatty-acid--CoA ligase 5
Q8NCV1	ADAD2_HUMAN	ADAD2_HUMAN|Adenosine deaminase domain-containing protein 2|Testis nuclear RNA-binding protein-like
